,year,rank,title,artist
0,1946,,,
1,1946,1 (1),Prisoner of Love,Perry Como
2,1946,2 (2),To Each His Own,Eddy Howard
3,1946,3 (3),The Gypsy,The Ink Spots
4,1946,4 (4),Five Minutes More,Frank Sinatra
5,1946,5 (5),Rumors Are Flying,Frankie Carle
6,1946,6 (6),Oh! What It Seemed to Be,Frankie Carle
7,1946,7 (7),Personality,Johnny Mercer
8,1946,8 (8),"""South America, Take It Away""",Bing Crosby
9,1946,9 (9),The Gypsy,Dinah Shore
10,1946,10 (10),Oh! What It Seemed to Be,Frank Sinatra
11,1946,11 (11),Surrender,Perry Como
12,1946,12 (12),"Doctor, Lawyer, Indian Chief",Betty Hutton
13,1946,13 (13),Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe
14,1946,14 (14),To Each His Own,Freddy Martin
15,1946,15 (15),Ole Buttermilk Sky,Kay Kyser
16,1946,16 (16),To Each His Own,The Ink Spots
17,1946,17 (17),"""Symphony""",Freddy Martin
18,1946,18 (18),The Old Lamp-Lighter,Sammy Kaye
19,1946,19 (19),I Can't Begin to Tell You,Bing Crosby
20,1946,19 (19),I'm a Big Girl Now,Sammy Kaye
21,1946,20 (21),"""Symphony""",Bing Crosby
22,1946,21 (22),The Gypsy,Sammy Kaye
23,1946,21 (22),Doin' What Comes Natur'lly,Dinah Shore
24,1946,22 (24),Laughing on the Outside (Crying on the Inside),Dinah Shore
25,1946,23 (25),Five Minutes More,Tex Beneke
26,1946,24 (26),Laughing on the Outside (Crying on the Inside),Andy Russell
27,1946,25 (27),Hey! Ba-Ba-Re-Bop,Tex Beneke
28,1946,25 (27),They Say It's Wonderful,Perry Como
29,1946,25 (27),To Each His Own,Tony Martin
30,1946,26 (30),You Won't Be Satisfied (Until You Break My Heart), Les Brown
31,1946,27 (31),"""Symphony""",Benny Goodman
32,1946,28 (32),Oh! What It Seemed to Be,Charlie Spivak
33,1946,28 (32),Doin' What Comes Natur'lly,Freddy Martin
34,1946,28 (32),The Old Lamp-Lighter,Kay Kyser
35,1946,29 (35),Oh! What It Seemed to Be,Dick Haymes
